symbol,strategy,signal_type,action,price,confidence,generated_at,reason,indicators,position_size,signal_hash,trend_strength,super_trend,timestamp
DIS,a35,MLP_NN_BUY,BUY,111.5,0.300482474859867,2025-12-13T19:54:05.599313,MLP神经网络预测上涨: 7.51%,"{'predicted_change': 0.07512061871496675, 'predicted_price': np.float64(119.87594898671878), 'model_trained': '2025-12-13T19:54:05.596972', 'network_layers': (100, 50, 25)}",6,82623ba7,,,
NKE,a8,RSI_NEUTRAL_REVERSAL,SELL,67.5,0.45,2025-12-13T19:54:06.645435,RSI 从 55.5 回落到 41.3,{'rsi': 41.34349020449976},10,08987472,,,
SBUX,a35,MLP_NN_SELL,SELL,85.34,0.43146380803428463,2025-12-13T19:54:08.146927,MLP神经网络预测下跌: -10.79%,"{'predicted_change': -0.10786595200857116, 'predicted_price': np.float64(76.13471965558854), 'model_trained': '2025-12-13T19:54:08.144740', 'network_layers': (100, 50, 25)}",8,fdebbb94,,,
BIDU,a8,RSI_NEUTRAL_REVERSAL,SELL,124.9,0.45,2025-12-13T19:54:10.165602,RSI 从 57.9 回落到 40.7,{'rsi': 40.707789527499656},5,c65f50e3,,,
NVDA,a8,RSI_OVERBOUGHT,SELL,175.1997,0.6231787320557879,2025-12-13T19:54:11.411387,RSI超买: 71.7 >= 70,"{'rsi': 71.7384049041841, 'rsi_threshold': 70, 'distance': 1.7384049041840939, 'divergence': True, 'short_term_bearish': True}",3,6e84b969,,,
NVDA,a35,MLP_NN_BUY,BUY,175.1997,0.1991816839288464,2025-12-13T19:54:11.800132,MLP神经网络预测上涨: 4.98%,"{'predicted_change': 0.0497954209822116, 'predicted_price': np.float64(183.92384281745717), 'model_trained': '2025-12-13T19:54:11.797913', 'network_layers': (100, 50, 25)}",3,2275cf5c,,,
MSFT,a35,MLP_NN_BUY,BUY,477.135,0.2555817753076749,2025-12-13T19:54:13.166590,MLP神经网络预测上涨: 6.39%,"{'predicted_change': 0.06389544382691872, 'predicted_price': np.float64(507.6217525903569), 'model_trained': '2025-12-13T19:54:13.164675', 'network_layers': (100, 50, 25)}",1,4f090ae7,,,
ETN,a8,RSI_OVERSOLD,BUY,332.5,0.6583436600604479,2025-12-13T19:54:13.981295,RSI超卖: 14.4 <= 30,"{'rsi': 14.374225495466419, 'rsi_threshold': 30, 'distance': 15.625774504533581}",2,62d1f203,,,
SNOW,a35,MLP_NN_SELL,SELL,217.13,0.2208669659202936,2025-12-13T19:54:15.820088,MLP神经网络预测下跌: -5.52%,"{'predicted_change': -0.0552167414800734, 'predicted_price': np.float64(205.14078892243165), 'model_trained': '2025-12-13T19:54:15.817442', 'network_layers': (100, 50, 25)}",3,ba5b87f3,,,
PLTR,a35,MLP_NN_SELL,SELL,182.1482,0.12547019781558863,2025-12-13T19:54:16.900407,MLP神经网络预测下跌: -3.14%,"{'predicted_change': -0.03136754945389716, 'predicted_price': np.float64(176.43465732856166), 'model_trained': '2025-12-13T19:54:16.898218', 'network_layers': (100, 50, 25)}",3,80792139,,,
DDOG,a35,MLP_NN_SELL,SELL,145.91,0.13494660941145084,2025-12-13T19:54:18.247521,MLP神经网络预测下跌: -3.37%,"{'predicted_change': -0.03373665235286271, 'predicted_price': np.float64(140.9874850551938), 'model_trained': '2025-12-13T19:54:18.245155', 'network_layers': (100, 50, 25)}",4,285a3a76,,,
CRWD,a35,MLP_NN_SELL,SELL,504.475,0.23902832404766466,2025-12-13T19:54:19.423430,MLP神经网络预测下跌: -5.98%,"{'predicted_change': -0.059757081011916166, 'predicted_price': np.float64(474.3290465565136), 'model_trained': '2025-12-13T19:54:19.421186', 'network_layers': (100, 50, 25)}",1,723e6b30,,,
INCY,a35,MLP_NN_BUY,BUY,94.9,0.2448694505362509,2025-12-13T19:54:20.509036,MLP神经网络预测上涨: 6.12%,"{'predicted_change': 0.06121736263406272, 'predicted_price': np.float64(100.70952771397255), 'model_trained': '2025-12-13T19:54:20.506628', 'network_layers': (100, 50, 25)}",7,cfa38d90,,,
