symbol,score,rsi_value,signal_type,confidence,details,strategy,screened_at
DDOG,100.0,27.522061744509386,oversold,1.0,"{'current_rsi': np.float64(27.522061744509386), 'avg_rsi': np.float64(13.269108968588972), 'signal_strength': 100.0, 'threshold': 35}",rsi_momentum,2025-12-12T20:34:21.641157
DINO,4.107737141764929,32.45939676278984,oversold,0.04107737141764929,"{'current_rsi': np.float64(32.45939676278984), 'avg_rsi': np.float64(34.178452571647014), 'signal_strength': np.float64(4.107737141764929), 'threshold': 35}",rsi_momentum,2025-12-12T20:34:12.119116
NFLX,3.8018097664842543,30.412715176818196,oversold,0.03801809766484254,"{'current_rsi': np.float64(30.412715176818196), 'avg_rsi': np.float64(34.23963804670315), 'signal_strength': np.float64(3.8018097664842543), 'threshold': 35}",rsi_momentum,2025-12-12T20:34:17.513601
